,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
6216,22853565,來來超商股份有限公司,80201036,第四０八分公司,高雄市前鎮區新衙路２８４之１號１樓,1,高雄市,南,OK
6217,22853565,來來超商股份有限公司,80201042,第三八六分公司,臺北市士林區大東路７８號１樓,1,臺北市,北,OK
6218,22853565,來來超商股份有限公司,80204012,第四八五分公司,新竹縣竹北市富禮街１號１樓,1,新竹縣,北,OK
6219,22853565,來來超商股份有限公司,80205716,第五一八分公司,桃園市中壢區中正路257號、康樂路85號1樓,1,桃園市,北,OK
6220,22853565,來來超商股份有限公司,80329723,第一七三分公司,基隆市中正區新豐街２５１巷７弄３５、３７號１樓,1,基隆市,北,OK
6221,22853565,來來超商股份有限公司,80329738,第一００分公司,高雄市三民區澄清路４４９號１樓,1,高雄市,南,OK
6222,22853565,來來超商股份有限公司,80333135,第四二八分公司,彰化縣員林市員鹿路１９２號１樓,1,彰化縣,中,OK
6223,22853565,來來超商股份有限公司,80333590,第四三四分公司,新北市中和區秀峰街１１７號１樓,1,新北市,北,OK
6224,22853565,來來超商股份有限公司,80333732,第四六六分公司,新北市淡水區中正路１１－７號１樓,1,新北市,北,OK
6225,22853565,來來超商股份有限公司,80336506,第四五九分公司,新北市永和區永利路４５號１樓,1,新北市,北,OK
6226,22853565,來來超商股份有限公司,80337224,第四六五分公司,臺中市太平區太平路227號1樓、永成北路407號1樓,1,臺中市,中,OK
6227,22853565,來來超商股份有限公司,80337884,第七三一分公司,臺中市龍井區新興路８０號１樓,1,臺中市,中,OK
6228,22853565,來來超商股份有限公司,80338595,第七三三分公司,桃園市中壢區五興路402號,1,桃園市,北,OK
6229,22853565,來來超商股份有限公司,80338602,第六八四分公司,臺中市太平區中山路３段２之１號１樓,1,臺中市,中,OK
6230,22853565,來來超商股份有限公司,80339406,第四九三分公司,臺中市神岡區神岡路１２２號１樓,1,臺中市,中,OK
6231,22853565,來來超商股份有限公司,80340092,第七三六分公司,南投縣草屯鎮碧興路１段３號１樓,1,南投縣,中,OK
6232,22853565,來來超商股份有限公司,80340142,第七三八分公司,新竹縣竹東鎮中豐路２段３３８號１樓,1,新竹縣,北,OK
6233,22853565,來來超商股份有限公司,80340522,第七四０分公司,新北市泰山區明志路３段２０２號１樓,1,新北市,北,OK
6234,22853565,來來超商股份有限公司,80341677,第五０三分公司,南投縣南投市南鄉路３７７、３７９號１樓,1,南投縣,中,OK
6235,22853565,來來超商股份有限公司,80344040,第七四六分公司,臺中市霧峰區四德村四德路５７５號１樓,1,臺中市,中,OK
6236,22853565,來來超商股份有限公司,80344344,第七四七分公司,新北市新店區中正路２４９號１樓,1,新北市,北,OK
6237,22853565,來來超商股份有限公司,80347200,第七五四分公司,新北市汐止區祥雲街２號１樓,1,新北市,北,OK
6238,22853565,來來超商股份有限公司,80347216,第七五五分公司,新北市板橋區新海路８０號１樓,1,新北市,北,OK
