公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lng,lat
22853565,來來超商股份有限公司,53650066,第一四八分公司,臺北市松山區新東街11巷28號,1,121.5649048,25.0580581
22853565,來來超商股份有限公司,53650354,第三八五分公司,基隆市7堵區福5街155、157號,1,121.697522,25.087147
22853565,來來超商股份有限公司,53651038,第四四三分公司,新北市汐止區茄苳路84、86號,1,121.6670689,25.0704825
22853565,來來超商股份有限公司,53651071,第一一七分公司,臺中市西屯區福瑞街33、35號,3,120.6061442,24.1870369
22853565,來來超商股份有限公司,53651086,第二三六分公司,新北市貢寮區仁和路2號,3,121.9234925,25.0485677
22853565,來來超商股份有限公司,53651430,第四0六分公司,臺中市大里區光正路116號,1,120.7140026,24.0898249
22853565,來來超商股份有限公司,53652228,第四三七分公司,臺北市內湖區民權東路6段296巷35號,1,121.6064968,25.0718951
22853565,來來超商股份有限公司,53652959,第四一六分公司,桃園市8德區桃德路123、125號,1,121.2945429,24.9681084
22853565,來來超商股份有限公司,53654133,第三二一分公司,嘉義市東區保建街56之6、56之7號,3,120.4537509,23.5005175
22853565,來來超商股份有限公司,53654534,第五八七分公司,桃園市中壢區復華9街71號,1,121.2481358,24.9754257
22853565,來來超商股份有限公司,53654936,第一0七八分公司,嘉義縣民雄鄉山中村牛斗山209號,1,120.4111436,23.518137
22853565,來來超商股份有限公司,53654957,第二五0分公司,新北市永和區保平路232號,3,121.5093721,25.0056216
22853565,來來超商股份有限公司,53655169,第四三五分公司,桃園市8德區桃德路388號,3,121.2975661,24.9728008
22853565,來來超商股份有限公司,53655528,第一０七六分公司,新北市新店區僑信路80號,3,121.4995941,24.9483684
22853565,來來超商股份有限公司,53655885,第七七九分公司,新北市板橋區縣民大道3段101號,1,121.4762132,25.0224452
22853565,來來超商股份有限公司,53655891,第八七０分公司,桃園市中壢區華勛街349、351號,1,121.2600179,24.9467377
22853565,來來超商股份有限公司,53655920,第九八五分公司,苗栗縣苗栗市復興路2段204、206號,1,120.8258748,24.5553287
22853565,來來超商股份有限公司,53656012,第九四一分公司,桃園市龍潭區中正路106號,3,121.2157728,24.8674835
22853565,來來超商股份有限公司,53657429,第六0分公司,宜蘭縣羅東鎮培英路141號,1,121.757599,24.6791863
22853565,來來超商股份有限公司,53657434,第八九分公司,桃園市中壢區華勛街293號,1,121.260565,24.9482889
22853565,來來超商股份有限公司,53657477,第八五二分公司,新竹縣新豐鄉建興路2段819、821號,1,120.986898,24.9020157
22853565,來來超商股份有限公司,53657504,第四七九分公司,宜蘭縣宜蘭市民權新路297號,1,121.744704,24.75221
22853565,來來超商股份有限公司,53657862,第一一九分公司,桃園市中壢區新中北路840、842號,1,121.251962,24.9565319
22853565,來來超商股份有限公司,53658617,第二三四分公司,新北市淡水區學府路136巷49號,3,121.4522745,25.1727477
22853565,來來超商股份有限公司,53658638,第六四分公司,宜蘭縣羅東鎮公正路373、375號,3,121.7608962,24.6805758
22853565,來來超商股份有限公司,53658659,第三四分公司,宜蘭縣羅東鎮天祥路95、97號,1,121.7760829,24.6710553
22853565,來來超商股份有限公司,53658665,第三二三分公司,臺北市信義區信義路5段150巷310號,3,121.5694803,25.0271054
22853565,來來超商股份有限公司,53664104,第六分公司,臺北市中正區廈門街113巷17號,1,121.5195926,25.0234824
22853565,來來超商股份有限公司,53667926,第九七分公司,宜蘭縣羅東鎮天津路6號,1,121.7695381,24.677717
22853565,來來超商股份有限公司,53667947,第九六八分公司,臺中市西屯區福科路338號,1,120.621984,24.183581
22853565,來來超商股份有限公司,53668185,第一三七分公司,桃園市中壢區興仁路2段295號、297巷1號,1,121.26499,24.964157
22853565,來來超商股份有限公司,53669136,第九0八分公司,新北市淡水區學府路106號,3,121.4500806,25.1720895
22853565,來來超商股份有限公司,53671323,第八八五分公司,新北市土城區自強街11巷2號,1,121.4300918,24.9702378
22853565,來來超商股份有限公司,53672408,第三八三分公司,宜蘭縣宜蘭市農權路103號,1,121.7537975,24.7474881
22853565,來來超商股份有限公司,53673928,第九三一分公司,新竹縣竹北市中正西路1999號,1,120.9560442,24.8418074
22853565,來來超商股份有限公司,53674187,第四一七分公司,桃園市楊梅區裕成路160之1號,1,121.1610128,24.8993775
22853565,來來超商股份有限公司,53675334,第九八三分公司,新北市樹林區中正路714號,1,121.4092525,25.017862
22853565,來來超商股份有限公司,53675593,第七三九分公司,臺中市北屯區崇德6路1段101號,1,120.6932161,24.1799806
22853565,來來超商股份有限公司,53676328,第六四八分公司,南投縣埔里鎮中山路4段2之5號,3,120.9344996,23.9661642
22853565,來來超商股份有限公司,53677229,第一0九九分公司,彰化縣田中鎮中正路577號,3,120.5836798,23.8636915
22853565,來來超商股份有限公司,53678260,第一一一二分公司,苗栗縣頭份市尖豐路775號,1,120.8833274,24.6416985
22853565,來來超商股份有限公司,54371823,第一00八分公司,新北市中和區員山路403、405號,3,121.4811099,25.0030343
22853565,來來超商股份有限公司,54373619,第一一二九分公司,臺北市中山區林森北路360、362號,1,121.5253788,25.0572909
22853565,來來超商股份有限公司,54375291,第一一一八分公司,宜蘭縣蘇澳鎮福德路320號,1,121.8298951,24.6444151
22853565,來來超商股份有限公司,54377220,第一一0五分公司,彰化縣彰化市光復路118號,1,120.541214,24.080688
22853565,來來超商股份有限公司,54379352,第一一一五分公司,屏東縣潮州鎮延平路312號,1,120.5401909,22.5593534
